,Assistant professors,Associate professors,College,Full professors,Instructors,Student-fac. ratio
541,59600.0,68200.0,Georgian Court University,88500.0,,12 to 1
542,67300.0,75500.0,Winston-Salem State University,88400.0,59100.0,17 to 1
543,60200.0,68000.0,University of St. Francis (Ill.),88300.0,56000.0,12 to 1
544,60800.0,73100.0,Fulton-Montgomery Community College,88300.0,48700.0,22 to 1
545,59600.0,65000.0,John Carroll University,88300.0,51900.0,13 to 1
546,55400.0,71300.0,Wright State University Lake Campus,88200.0,40200.0,39 to 1
547,55500.0,70000.0,Saint Anselm College,88100.0,48200.0,12 to 1
548,61400.0,64700.0,University of New Orleans,88000.0,39000.0,19 to 1
549,57800.0,69900.0,College of Saint Rose,88000.0,36100.0,14 to 1
550,60300.0,77800.0,State University of New York Maritime College,87900.0,23400.0,15 to 1
551,51700.0,61700.0,Benedictine University,87800.0,49800.0,18 to 1
552,62200.0,69900.0,College of Mount Saint Vincent,87800.0,61700.0,13 to 1
553,53700.0,67100.0,McDaniel College,87700.0,,12 to 1
554,58100.0,65600.0,University of Southern Mississippi,87600.0,47300.0,17 to 1
555,66900.0,69600.0,University of Maryland-Eastern Shore,87500.0,63900.0,17 to 1
556,62200.0,68400.0,Minnesota State University at Mankato,87400.0,43900.0,25 to 1
557,57000.0,68200.0,Wagner College,87400.0,67400.0,14 to 1
558,60400.0,66500.0,James Madison University,87400.0,51000.0,16 to 1
559,63200.0,74100.0,Fayetteville State University,87300.0,60800.0,15 to 1
560,66100.0,73600.0,University of New England,87200.0,52800.0,13 to 1
561,59500.0,69700.0,Prairie View A&M University,87200.0,,17 to 1
562,60500.0,67300.0,Mercer University,87100.0,50400.0,13 to 1
563,69000.0,70700.0,University of Hawaii Kauai Community College,87100.0,56900.0,12 to 1
564,61500.0,68300.0,Coppin State University,87100.0,,15 to 1
565,62100.0,68400.0,University of Texas-Pan American,87100.0,,21 to 1
566,58700.0,72200.0,North Central College,87000.0,54500.0,16 to 1
567,64200.0,74900.0,University of Nebraska at Omaha,87000.0,41600.0,19 to 1
568,62500.0,70900.0,Texas A&M University at Corpus Christi,87000.0,,19 to 1
569,60000.0,76800.0,University of Bridgeport,86900.0,,17 to 1
570,58000.0,68400.0,Illinois Wesleyan University,86900.0,52900.0,11 to 1
571,58900.0,68100.0,College of Saint Benedict,86800.0,55300.0,12 to 1
572,64700.0,77900.0,Dominican College of Blauvelt,86800.0,59700.0,15 to 1
573,56300.0,64900.0,University of Evansville,86700.0,39000.0,14 to 1
574,54800.0,66500.0,Hartwick College,86700.0,,11 to 1
575,57600.0,67000.0,State University of New York College at Cortland,86700.0,49600.0,17 to 1
576,60300.0,70300.0,Gannon University,86700.0,48600.0,14 to 1
577,56500.0,61500.0,Millsaps College,86500.0,43800.0,9 to 1
578,57100.0,68600.0,University of Houston-Downtown,86500.0,62000.0,20 to 1
579,44100.0,55300.0,Castleton State College,86500.0,,14 to 1
580,56600.0,59800.0,Buena Vista University,86400.0,44300.0,13 to 1
581,57500.0,70000.0,Citadel,86400.0,45000.0,14 to 1
582,56800.0,63300.0,Norwich University,86300.0,,16 to 1
583,62400.0,69700.0,Bowie State University,86200.0,59000.0,16 to 1
